,Disease,CombinedColumn,Drug Reaction,Specialities
0,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Allergy,Allergist
1,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hypertension ,Cardiologist
2,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Heart attack,Cardiologist
3,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Psoriasis,Dermatologist
4,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Chicken pox,Dermatologist
5,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Acne,Dermatologist
6,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Impetigo,Dermatologist
7,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Fungal infection,Dermatologist
8,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hypothyroidism,Endocrinologist
9,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Diabetes ,Endocrinologist
10,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hypoglycemia,Endocrinologist
11,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hyperthyroidism,Endocrinologist
12,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",GERD,Gastroenterologist
13,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Peptic ulcer diseae,Gastroenterologist
14,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Jaundice,Gastroenterologist
15,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Dimorphic hemmorhoids(piles),Gastroenterologist 
16,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Gastroenteritis,Gastroenterologist
17,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Urinary tract infection,Gynecologist
18,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Chronic cholestasis,Hepatologist
19,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",hepatitis A,Hepatologist
20,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hepatitis B,hepatologist
21,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hepatitis C,Hepatologist
22,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hepatitis E,Hepatologist
23,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Hepatitis D,Hepatologist
24,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Alcoholic hepatitis,Hepatologist
25,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Malaria,Internal Medcine
26,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Dengue,Internal Medcine
27,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Migraine,Neurologist
28,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Cervical spondylosis,Neurologist
29,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Paralysis (brain hemorrhage),Neurologist
30,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",AIDS,Osteopathic
31,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
32,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Common Cold,Otolaryngologist
33,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Typhoid,Pediatrician
34,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Varicose veins,Phlebologist
35,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Bronchial Asthma,Pulmonologist
36,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Pneumonia,Pulmonologist
37,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Osteoarthristis,Rheumatologists
38,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Arthritis,Rheumatologists
39,Drug Reaction,"stop irritation, consult nearest hospital, stop taking drug, follow up",Tuberculosis,Tuberculosis
40,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Allergy,Allergist
41,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hypertension ,Cardiologist
42,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Heart attack,Cardiologist
43,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Psoriasis,Dermatologist
44,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Chicken pox,Dermatologist
45,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Acne,Dermatologist
46,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Impetigo,Dermatologist
47,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Fungal infection,Dermatologist
48,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hypothyroidism,Endocrinologist
49,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Diabetes ,Endocrinologist
50,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hypoglycemia,Endocrinologist
51,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hyperthyroidism,Endocrinologist
52,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",GERD,Gastroenterologist
53,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Peptic ulcer diseae,Gastroenterologist
54,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Jaundice,Gastroenterologist
55,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Dimorphic hemmorhoids(piles),Gastroenterologist 
56,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Gastroenteritis,Gastroenterologist
57,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Urinary tract infection,Gynecologist
58,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Chronic cholestasis,Hepatologist
59,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",hepatitis A,Hepatologist
60,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hepatitis B,hepatologist
61,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hepatitis C,Hepatologist
62,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hepatitis E,Hepatologist
63,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Hepatitis D,Hepatologist
64,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Alcoholic hepatitis,Hepatologist
65,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Malaria,Internal Medcine
66,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Dengue,Internal Medcine
67,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Migraine,Neurologist
68,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Cervical spondylosis,Neurologist
69,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Paralysis (brain hemorrhage),Neurologist
70,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",AIDS,Osteopathic
71,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
72,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Common Cold,Otolaryngologist
73,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Typhoid,Pediatrician
74,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Varicose veins,Phlebologist
75,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Bronchial Asthma,Pulmonologist
76,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Pneumonia,Pulmonologist
77,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Osteoarthristis,Rheumatologists
78,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Arthritis,Rheumatologists
79,Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",Tuberculosis,Tuberculosis
80,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Allergy,Allergist
81,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hypertension ,Cardiologist
82,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Heart attack,Cardiologist
83,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Psoriasis,Dermatologist
84,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Chicken pox,Dermatologist
85,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Acne,Dermatologist
86,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Impetigo,Dermatologist
87,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Fungal infection,Dermatologist
88,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hypothyroidism,Endocrinologist
89,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Diabetes ,Endocrinologist
90,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hypoglycemia,Endocrinologist
91,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hyperthyroidism,Endocrinologist
92,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",GERD,Gastroenterologist
93,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Peptic ulcer diseae,Gastroenterologist
94,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Jaundice,Gastroenterologist
95,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Dimorphic hemmorhoids(piles),Gastroenterologist 
96,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Gastroenteritis,Gastroenterologist
97,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Urinary tract infection,Gynecologist
98,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Chronic cholestasis,Hepatologist
99,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",hepatitis A,Hepatologist
100,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hepatitis B,hepatologist
101,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hepatitis C,Hepatologist
102,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hepatitis E,Hepatologist
103,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Hepatitis D,Hepatologist
104,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Alcoholic hepatitis,Hepatologist
105,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Malaria,Internal Medcine
