Disease,Precautions,Symptoms,Specialities
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Allergy,Allergist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hypertension ,Cardiologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Heart attack,Cardiologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Psoriasis,Dermatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Chicken pox,Dermatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Acne,Dermatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Impetigo,Dermatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Fungal infection,Dermatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hypothyroidism,Endocrinologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Diabetes ,Endocrinologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hypoglycemia,Endocrinologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hyperthyroidism,Endocrinologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,GERD,Gastroenterologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Peptic ulcer diseae,Gastroenterologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Jaundice,Gastroenterologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Dimorphic hemmorhoids(piles),Gastroenterologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Gastroenteritis,Gastroenterologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Urinary tract infection,Gynecologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Chronic cholestasis,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,hepatitis A,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hepatitis B,hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hepatitis C,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hepatitis E,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Hepatitis D,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Alcoholic hepatitis,Hepatologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Malaria,Internal Medcine
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Dengue,Internal Medcine
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Migraine,Neurologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Cervical spondylosis,Neurologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Paralysis (brain hemorrhage),Neurologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,AIDS,Osteopathic
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Common Cold,Otolaryngologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Typhoid,Pediatrician
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Varicose veins,Phlebologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Bronchial Asthma,Pulmonologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Pneumonia,Pulmonologist
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Osteoarthristis,Rheumatologists
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Arthritis,Rheumatologists
Drug Reaction,stop irritation consult nearest hospital stop taking drug follow,Tuberculosis,Internist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Allergy,Allergist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hypertension ,Cardiologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Heart attack,Cardiologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Psoriasis,Dermatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Chicken pox,Dermatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Acne,Dermatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Impetigo,Dermatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Fungal infection,Dermatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hypothyroidism,Endocrinologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Diabetes ,Endocrinologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hypoglycemia,Endocrinologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hyperthyroidism,Endocrinologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,GERD,Gastroenterologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Peptic ulcer diseae,Gastroenterologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Jaundice,Gastroenterologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Dimorphic hemmorhoids(piles),Gastroenterologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Gastroenteritis,Gastroenterologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Urinary tract infection,Gynecologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Chronic cholestasis,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,hepatitis A,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hepatitis B,hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hepatitis C,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hepatitis E,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Hepatitis D,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Alcoholic hepatitis,Hepatologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Malaria,Internal Medcine
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Dengue,Internal Medcine
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Migraine,Neurologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Cervical spondylosis,Neurologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Paralysis (brain hemorrhage),Neurologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,AIDS,Osteopathic
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Common Cold,Otolaryngologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Typhoid,Pediatrician
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Varicose veins,Phlebologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Bronchial Asthma,Pulmonologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Pneumonia,Pulmonologist
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Osteoarthristis,Rheumatologists
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Arthritis,Rheumatologists
Malaria,consult nearest hospital avoid oily food avoid non veg food keep mosquito,Tuberculosis,Internist
Allergy,apply calamine cover area bandage nan use ice compress itching,Allergy,Allergist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hypertension ,Cardiologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Heart attack,Cardiologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Psoriasis,Dermatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Chicken pox,Dermatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Acne,Dermatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Impetigo,Dermatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Fungal infection,Dermatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hypothyroidism,Endocrinologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Diabetes ,Endocrinologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hypoglycemia,Endocrinologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hyperthyroidism,Endocrinologist
Allergy,apply calamine cover area bandage nan use ice compress itching,GERD,Gastroenterologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Peptic ulcer diseae,Gastroenterologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Jaundice,Gastroenterologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Dimorphic hemmorhoids(piles),Gastroenterologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Gastroenteritis,Gastroenterologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Urinary tract infection,Gynecologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Chronic cholestasis,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,hepatitis A,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hepatitis B,hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hepatitis C,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hepatitis E,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Hepatitis D,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Alcoholic hepatitis,Hepatologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Malaria,Internal Medcine
Allergy,apply calamine cover area bandage nan use ice compress itching,Dengue,Internal Medcine
Allergy,apply calamine cover area bandage nan use ice compress itching,Migraine,Neurologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Cervical spondylosis,Neurologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Paralysis (brain hemorrhage),Neurologist
Allergy,apply calamine cover area bandage nan use ice compress itching,AIDS,Osteopathic
Allergy,apply calamine cover area bandage nan use ice compress itching,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Common Cold,Otolaryngologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Typhoid,Pediatrician
Allergy,apply calamine cover area bandage nan use ice compress itching,Varicose veins,Phlebologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Bronchial Asthma,Pulmonologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Pneumonia,Pulmonologist
Allergy,apply calamine cover area bandage nan use ice compress itching,Osteoarthristis,Rheumatologists
Allergy,apply calamine cover area bandage nan use ice compress itching,Arthritis,Rheumatologists
Allergy,apply calamine cover area bandage nan use ice compress itching,Tuberculosis,Internist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Allergy,Allergist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hypertension ,Cardiologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Heart attack,Cardiologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Psoriasis,Dermatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Chicken pox,Dermatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Acne,Dermatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Impetigo,Dermatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Fungal infection,Dermatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hypothyroidism,Endocrinologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Diabetes ,Endocrinologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hypoglycemia,Endocrinologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hyperthyroidism,Endocrinologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,GERD,Gastroenterologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Peptic ulcer diseae,Gastroenterologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Jaundice,Gastroenterologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Dimorphic hemmorhoids(piles),Gastroenterologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Gastroenteritis,Gastroenterologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Urinary tract infection,Gynecologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Chronic cholestasis,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,hepatitis A,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hepatitis B,hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hepatitis C,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hepatitis E,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Hepatitis D,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Alcoholic hepatitis,Hepatologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Malaria,Internal Medcine
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Dengue,Internal Medcine
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Migraine,Neurologist
